idx,gpt_label,confidence,gold_label,confidence_normalized
0,1,0.875,1,0.0002944764629169997
1,1,0.5,0,0.00016827226452399984
2,1,0.75,1,0.00025240839678599975
3,1,0.625,0,0.0002103403306549998
4,0,0.75,1,0.00025240839678599975
5,1,0.875,1,0.0002944764629169997
6,1,0.875,0,0.0002944764629169997
7,0,0.75,1,0.00025240839678599975
8,1,0.375,0,0.00012620419839299988
10,1,0.75,0,0.00025240839678599975
11,0,0.5,0,0.00016827226452399984
12,0,0.625,0,0.0002103403306549998
13,1,1.0,1,0.00033654452904799967
14,1,1.0,1,0.00033654452904799967
15,0,0.625,0,0.0002103403306549998
16,1,0.375,0,0.00012620419839299988
17,1,1.0,0,0.00033654452904799967
19,1,1.0,1,0.00033654452904799967
20,1,1.0,0,0.00033654452904799967
21,0,0.5,1,0.00016827226452399984
22,1,0.75,1,0.00025240839678599975
23,1,0.75,1,0.00025240839678599975
24,1,1.0,0,0.00033654452904799967
26,1,1.0,1,0.00033654452904799967
27,1,0.875,1,0.0002944764629169997
28,1,0.875,1,0.0002944764629169997
29,1,0.375,0,0.00012620419839299988
30,1,0.75,0,0.00025240839678599975
31,1,0.5,1,0.00016827226452399984
34,1,0.625,1,0.0002103403306549998
35,1,0.625,1,0.0002103403306549998
36,1,0.375,0,0.00012620419839299988
37,1,1.0,1,0.00033654452904799967
38,1,1.0,1,0.00033654452904799967
39,1,1.0,1,0.00033654452904799967
40,1,0.875,1,0.0002944764629169997
41,1,1.0,0,0.00033654452904799967
42,1,1.0,1,0.00033654452904799967
43,0,0.625,0,0.0002103403306549998
44,1,1.0,1,0.00033654452904799967
45,1,1.0,1,0.00033654452904799967
46,1,0.875,0,0.0002944764629169997
47,1,0.75,1,0.00025240839678599975
48,1,1.0,1,0.00033654452904799967
49,1,0.25,1,8.413613226199992e-05
51,0,0.75,1,0.00025240839678599975
52,1,1.0,1,0.00033654452904799967
53,1,0.5,1,0.00016827226452399984
56,1,1.0,1,0.00033654452904799967
57,1,1.0,0,0.00033654452904799967
58,1,0.625,1,0.0002103403306549998
59,1,0.875,1,0.0002944764629169997
60,1,0.875,0,0.0002944764629169997
61,0,0.75,0,0.00025240839678599975
62,1,0.875,0,0.0002944764629169997
63,1,1.0,1,0.00033654452904799967
64,1,1.0,0,0.00033654452904799967
65,0,0.5,0,0.00016827226452399984
66,1,0.875,1,0.0002944764629169997
67,1,0.875,1,0.0002944764629169997
68,1,1.0,1,0.00033654452904799967
69,1,0.875,1,0.0002944764629169997
70,1,1.0,0,0.00033654452904799967
71,1,1.0,1,0.00033654452904799967
72,1,1.0,1,0.00033654452904799967
74,1,0.25,1,8.413613226199992e-05
75,1,1.0,1,0.00033654452904799967
76,1,1.0,1,0.00033654452904799967
78,1,0.75,1,0.00025240839678599975
80,1,0.875,1,0.0002944764629169997
81,0,0.75,0,0.00025240839678599975
82,1,0.5,1,0.00016827226452399984
84,0,0.625,0,0.0002103403306549998
85,1,0.75,1,0.00025240839678599975
86,1,1.0,1,0.00033654452904799967
87,1,0.875,1,0.0002944764629169997
88,1,0.875,1,0.0002944764629169997
89,1,0.875,1,0.0002944764629169997
90,0,0.5,0,0.00016827226452399984
91,1,0.25,0,8.413613226199992e-05
93,1,1.0,1,0.00033654452904799967
94,0,0.75,0,0.00025240839678599975
95,1,0.875,0,0.0002944764629169997
96,0,0.5,1,0.00016827226452399984
97,1,0.875,0,0.0002944764629169997
98,1,0.375,0,0.00012620419839299988
99,1,0.75,1,0.00025240839678599975
100,0,0.75,1,0.00025240839678599975
101,0,0.625,0,0.0002103403306549998
103,1,0.875,1,0.0002944764629169997
104,1,1.0,1,0.00033654452904799967
105,1,1.0,1,0.00033654452904799967
106,1,1.0,0,0.00033654452904799967
107,1,0.625,1,0.0002103403306549998
108,0,0.625,1,0.0002103403306549998
109,1,1.0,1,0.00033654452904799967
110,1,1.0,1,0.00033654452904799967
111,1,0.875,1,0.0002944764629169997
112,1,0.5,1,0.00016827226452399984
113,0,0.75,0,0.00025240839678599975
114,0,0.5,0,0.00016827226452399984
115,1,0.75,1,0.00025240839678599975
116,0,0.75,0,0.00025240839678599975
117,1,0.75,1,0.00025240839678599975
118,0,0.625,0,0.0002103403306549998
119,1,0.875,1,0.0002944764629169997
120,1,0.875,1,0.0002944764629169997
121,1,1.0,1,0.00033654452904799967
122,1,1.0,1,0.00033654452904799967
123,1,0.75,0,0.00025240839678599975
124,0,0.625,1,0.0002103403306549998
126,1,1.0,1,0.00033654452904799967
128,1,1.0,1,0.00033654452904799967
130,1,0.75,0,0.00025240839678599975
131,0,0.25,0,8.413613226199992e-05
132,1,1.0,1,0.00033654452904799967
133,1,0.875,1,0.0002944764629169997
134,1,1.0,1,0.00033654452904799967
135,1,1.0,1,0.00033654452904799967
136,1,0.875,0,0.0002944764629169997
137,1,1.0,1,0.00033654452904799967
138,1,1.0,1,0.00033654452904799967
139,1,1.0,0,0.00033654452904799967
140,1,1.0,1,0.00033654452904799967
141,1,0.875,1,0.0002944764629169997
142,1,1.0,1,0.00033654452904799967
144,1,0.625,1,0.0002103403306549998
145,0,0.625,0,0.0002103403306549998
146,1,0.875,1,0.0002944764629169997
147,1,1.0,1,0.00033654452904799967
148,1,0.75,1,0.00025240839678599975
149,1,1.0,1,0.00033654452904799967
150,1,0.75,0,0.00025240839678599975
151,1,1.0,1,0.00033654452904799967
152,1,1.0,1,0.00033654452904799967
153,1,0.875,0,0.0002944764629169997
154,1,0.875,1,0.0002944764629169997
155,1,0.875,1,0.0002944764629169997
156,1,0.875,1,0.0002944764629169997
157,1,0.625,1,0.0002103403306549998
158,1,0.875,1,0.0002944764629169997
159,1,1.0,1,0.00033654452904799967
160,1,0.625,1,0.0002103403306549998
161,1,0.875,0,0.0002944764629169997
162,1,1.0,1,0.00033654452904799967
163,1,1.0,1,0.00033654452904799967
164,1,0.875,1,0.0002944764629169997
165,1,1.0,1,0.00033654452904799967
166,0,0.75,0,0.00025240839678599975
167,1,0.75,1,0.00025240839678599975
168,0,0.625,1,0.0002103403306549998
169,1,1.0,1,0.00033654452904799967
170,1,0.625,1,0.0002103403306549998
171,1,1.0,1,0.00033654452904799967
172,1,0.875,1,0.0002944764629169997
174,1,1.0,1,0.00033654452904799967
176,0,0.625,1,0.0002103403306549998
177,0,0.75,0,0.00025240839678599975
178,1,1.0,1,0.00033654452904799967
179,1,1.0,1,0.00033654452904799967
180,1,0.875,1,0.0002944764629169997
181,1,1.0,1,0.00033654452904799967
