Dataset,Human Samples,Relative Error
global_warming,100,0.6973436822418989
global_warming,200,0.41685790180292054
global_warming,300,0.319421271325005
global_warming,400,0.26790623123279655
global_warming,500,0.23784099748659412
global_warming,600,0.21296508549681745
global_warming,700,0.19983012379294318
global_warming,800,0.18678761889279172
global_warming,900,0.1808210442784538
global_warming,1000,0.16342849483461472
global_warming,1100,0.15724701041264172
global_warming,1200,0.15229746854879905
global_warming,1300,0.13797766443642276
global_warming,1400,0.14065435080401487
global_warming,1500,0.1332607071350193
global_warming,1600,0.1246613597425962
global_warming,1700,0.12597417798363697
global_warming,1800,0.11983365616043037
global_warming,1900,0.11785443763945332
global_warming,2000,0.10987201462197653
global_warming,2100,0.10876900956559026
global_warming,2200,0.10583642408273862
