Dataset,Human Samples,Relative Error
med-safe,100,0.060531765790052754
med-safe,200,0.04410797906540143
med-safe,300,0.03631997668781435
med-safe,400,0.031581031453533935
med-safe,500,0.02776508967212174
med-safe,600,0.025151897343922362
med-safe,700,0.023896565308045792
med-safe,800,0.022419661245150893
med-safe,900,0.020571859059837095
med-safe,1000,0.019534557896100035
med-safe,1100,0.01902257056589493
med-safe,1200,0.018670978192369632
med-safe,1300,0.017483926698873085
med-safe,1400,0.017766064288033595
med-safe,1500,0.016196985381006987
med-safe,1600,0.015675551558047215
med-safe,1700,0.015243513359321802
med-safe,1800,0.014815746477538519
med-safe,1900,0.014167809745296526
med-safe,2000,0.014709947446630376
med-safe,2100,0.014024640782275348
med-safe,2200,0.013030904239031697
med-safe,2300,0.013224450880442934
med-safe,2400,0.012592946996075749
med-safe,2500,0.012585133021024734
med-safe,2600,0.012109631042289444
med-safe,2700,0.012033065325501148
med-safe,2800,0.0117761381958267
med-safe,2900,0.011585691629841263
med-safe,3000,0.011314540414239519
med-safe,3100,0.0114332302314793
med-safe,3200,0.011041356118005363
med-safe,3300,0.010920172779919017
med-safe,3400,0.010935727214168158
med-safe,3500,0.010626791202584624
med-safe,3600,0.010580180880167428
med-safe,3700,0.01055104246676103
