Dataset,Human Samples,Relative Error
mrpc,100,0.06087550772843091
mrpc,200,0.039447493824067044
mrpc,300,0.0331956947534788
mrpc,400,0.03030228471075376
mrpc,500,0.02702249667023738
mrpc,600,0.023949123318278715
mrpc,700,0.02231682362423386
mrpc,800,0.020465427629369894
mrpc,900,0.020137208912371203
mrpc,1000,0.019310260853869485
mrpc,1100,0.017143358734725608
mrpc,1200,0.01647613760545483
mrpc,1300,0.016795756220272576
mrpc,1400,0.015908608777733896
mrpc,1500,0.014959066614004217
mrpc,1600,0.01460019587416658
mrpc,1700,0.014418948975716437
mrpc,1800,0.013247304257271907
mrpc,1900,0.013190840813741752
mrpc,2000,0.01293394211874673
mrpc,2100,0.012782815507953309
mrpc,2200,0.012822850431687512
mrpc,2300,0.01254423093561964
mrpc,2400,0.012259082059962375
mrpc,2500,0.011901298891797639
mrpc,2600,0.011568940864258907
mrpc,2700,0.011434039702469555
mrpc,2800,0.010827823450181805
mrpc,2900,0.011041881622866923
mrpc,3000,0.010806368212289858
mrpc,3100,0.010675174493306046
mrpc,3200,0.010274739548598928
mrpc,3300,0.010322907439043228
mrpc,3400,0.010141189913563532
mrpc,3500,0.009892991549840678
mrpc,3600,0.009646213353265954
