model_name,num_samples,relative_error
alpaca-13b,20,66.11496415770608
alpaca-13b,38,45.43966973886329
alpaca-13b,56,38.780883265480036
alpaca-13b,75,33.673480912053016
alpaca-13b,93,29.743132790412204
alpaca-13b,111,26.646810154605845
alpaca-13b,130,24.50327044797319
alpaca-13b,148,22.967749759921126
alpaca-13b,166,20.65250989301812
alpaca-13b,185,20.479186613501916
alpaca-13b,203,19.86137935780225
alpaca-13b,221,18.248500115107394
alpaca-13b,240,17.068245596811764
alpaca-13b,258,15.490117823920713
alpaca-13b,276,15.083791055928721
alpaca-13b,295,14.687620340106063
alpaca-13b,313,14.777169943619331
alpaca-13b,331,14.33946816076263
alpaca-13b,350,13.150671420462077
