model_name,num_samples,relative_error
gpt-3.5-turbo,20,27.048267296740583
gpt-3.5-turbo,38,18.344410047452257
gpt-3.5-turbo,56,14.221969896887773
gpt-3.5-turbo,75,12.746954580106904
gpt-3.5-turbo,93,11.737255129665636
gpt-3.5-turbo,111,10.165516553210187
gpt-3.5-turbo,130,9.285271319752676
gpt-3.5-turbo,148,8.72405196212155
gpt-3.5-turbo,166,8.17890004389717
gpt-3.5-turbo,185,7.722914043370516
gpt-3.5-turbo,203,7.37945826444956
gpt-3.5-turbo,221,6.841682672134571
gpt-3.5-turbo,240,6.417113029976488
gpt-3.5-turbo,258,6.165167874163988
gpt-3.5-turbo,276,5.874382020269621
gpt-3.5-turbo,295,5.665486695011368
gpt-3.5-turbo,313,5.584453367065504
gpt-3.5-turbo,331,5.645867863771355
gpt-3.5-turbo,350,5.261897679528782
