model_name,num_samples,relative_error
vicuna-13b-v1.2,20,49.43969135802469
vicuna-13b-v1.2,38,31.91629881582263
vicuna-13b-v1.2,56,25.516769876127952
vicuna-13b-v1.2,75,21.25168936544115
vicuna-13b-v1.2,93,19.066101387338282
vicuna-13b-v1.2,111,17.479114936422175
vicuna-13b-v1.2,130,15.982509302507367
vicuna-13b-v1.2,148,14.635970021869445
vicuna-13b-v1.2,166,13.872051355015428
vicuna-13b-v1.2,185,12.296958589930258
vicuna-13b-v1.2,203,12.79183805075432
vicuna-13b-v1.2,221,11.52286026544677
vicuna-13b-v1.2,240,10.948782938752599
vicuna-13b-v1.2,258,11.338873276909096
vicuna-13b-v1.2,276,9.777566851498653
vicuna-13b-v1.2,295,9.952589393963219
vicuna-13b-v1.2,313,9.69494581326629
vicuna-13b-v1.2,331,9.407434089103159
vicuna-13b-v1.2,350,9.1461072504935
