Dataset,Human Samples,Relative Error
helmet,100,0.36754081010053075
helmet,200,0.21944214211532168
helmet,300,0.16593183488002555
helmet,400,0.17466681253618455
helmet,500,0.1286729903798084
helmet,600,0.134630341246203
helmet,700,0.11913795210598234
helmet,800,0.10733182795515843
helmet,900,0.11471960980157743
helmet,1000,0.10080559421237521
helmet,1100,0.10266574596536585
helmet,1200,0.0931569096130523
helmet,1300,0.09885534687898673
helmet,1400,0.08191140219414776
helmet,1500,0.07266508359523607
helmet,1600,0.0706153105530144
helmet,1700,0.07484157090535619
helmet,1800,0.07453205002712625
helmet,1900,0.07111167743277062
helmet,2000,0.06909440635111788
helmet,2100,0.07391903109248582
helmet,2200,0.06336167462375387
helmet,2300,0.06273910001637595
helmet,2400,0.0739502110716028
helmet,2500,0.06571601984285098
helmet,2600,0.06883826521881885
helmet,2700,0.06013466446728343
helmet,2800,0.06222336436121325
helmet,2900,0.0629804552862958
helmet,3000,0.06078007022031185
helmet,3100,0.055943965957353306
helmet,3200,0.060133563216119526
helmet,3300,0.0591645037021488
helmet,3400,0.0493128172600247
helmet,3500,0.06211931083363821
helmet,3600,0.054001892202563406
helmet,3700,0.05417110144315959
helmet,3800,0.05278607786045655
helmet,3900,0.04720262306808097
helmet,4000,0.049398448080229196
helmet,4100,0.04392019323021497
helmet,4200,0.04808194170996216
helmet,4300,0.045167250897172204
helmet,4400,0.050356880576754574
helmet,4500,0.049900209859579006
helmet,4600,0.04254522618357977
helmet,4700,0.04517880045096865
helmet,4800,0.04407618383438562
helmet,4900,0.04763849312824593
helmet,5000,0.0480017374060451
helmet,5100,0.04132246165786776
helmet,5200,0.038910318612812536
helmet,5300,0.037341714160245995
helmet,5400,0.03991114464874776
helmet,5500,0.0453470321126957
helmet,5600,0.04681439025040168
helmet,5700,0.044219281426
helmet,5800,0.03899676777728517
helmet,5900,0.040345574116637806
helmet,6000,0.039832356716917816
helmet,6100,0.04091747679328465
helmet,6200,0.034715034922233635
helmet,6300,0.0397922158558457
helmet,6400,0.03746390614860582
helmet,6500,0.03771603271117084
helmet,6600,0.040071404236603415
helmet,6700,0.034513733498172466
helmet,6800,0.03667515589086465
helmet,6900,0.03381617025469346
helmet,7000,0.03791731731057962
helmet,7100,0.03558508328374024
helmet,7200,0.03320130453608302
helmet,7300,0.04018648983048973
helmet,7400,0.03815719126366042
helmet,7500,0.038693147212816185
helmet,7600,0.037932219044165695
helmet,7700,0.033277219535858264
helmet,7800,0.03795135996638217
helmet,7900,0.033471397231786965
helmet,8000,0.03328344393813679
helmet,8100,0.031636077060577125
helmet,8200,0.035363097518389175
helmet,8300,0.0326209813971022
helmet,8400,0.031130072304401738
helmet,8500,0.038317106042477025
helmet,8600,0.0331012728613995
helmet,8700,0.03314620781272891
helmet,8800,0.03264598893803142
helmet,8900,0.03397459097928442
helmet,9000,0.032664774153064895
helmet,9100,0.03379631585572075
helmet,9200,0.03181152055353594
helmet,9300,0.0316394652534477
helmet,9400,0.03322139638768254
helmet,9500,0.03776438207344544
helmet,9600,0.028967351551237475
helmet,9700,0.03201235154332609
helmet,9800,0.03400270861053683
helmet,9900,0.030394384636912936
helmet,10000,0.03393855543006743
helmet,10100,0.03488928499755037
helmet,10200,0.028435906791155437
helmet,10300,0.0320604365288997
helmet,10400,0.03256707337675025
helmet,10500,0.036961722347047976
helmet,10600,0.028661354938748558
helmet,10700,0.026942166416552383
helmet,10800,0.027644638166345496
helmet,10900,0.027133061443174407
helmet,11000,0.02900579305722518
helmet,11100,0.029491661321002248
helmet,11200,0.02780225087585773
helmet,11300,0.02956462439133741
helmet,11400,0.033013752519043774
helmet,11500,0.02641281264343464
helmet,11600,0.028290247027335253
helmet,11700,0.026919319202595222
helmet,11800,0.030961611263900065
helmet,11900,0.02779617718845161
helmet,12000,0.029573527239003312
helmet,12100,0.03415534134367259
helmet,12200,0.029309085281663896
helmet,12300,0.02977171627267581
helmet,12400,0.02943783849356093
helmet,12500,0.028769328101738097
helmet,12600,0.03065038584383014
helmet,12700,0.027308642852956734
helmet,12800,0.027652167868659962
helmet,12900,0.028164102915318935
helmet,13000,0.029613673527319834
helmet,13100,0.027478360128298424
helmet,13200,0.026858402142595498
helmet,13300,0.027174408257942137
helmet,13400,0.029673545911470978
helmet,13500,0.025333897856516813
helmet,13600,0.027148435698725014
helmet,13700,0.022359250125214072
helmet,13800,0.029627359976363614
helmet,13900,0.027923522797279995
helmet,14000,0.026328182968567544
helmet,14100,0.02614748213673762
helmet,14200,0.028587372421879982
helmet,14300,0.02788037308027477
helmet,14400,0.026946161455998676
helmet,14500,0.024880819631776952
helmet,14600,0.02545583536780845
helmet,14700,0.021667672701036284
helmet,14800,0.0263956850901477
helmet,14900,0.024904861362016976
helmet,15000,0.025720465205094547
helmet,15100,0.022396823390973514
helmet,15200,0.028762559421495217
helmet,15300,0.022974862369550916
helmet,15400,0.024538149176079844
helmet,15500,0.027428355560365304
helmet,15600,0.027146431995602825
helmet,15700,0.024160866628281243
helmet,15800,0.023974281151944683
helmet,15900,0.02592470810496858
helmet,16000,0.02628689143055557
helmet,16100,0.02374951608849477
helmet,16200,0.023657897902799867
helmet,16300,0.02257296649056661
helmet,16400,0.023097820283582454
helmet,16500,0.024257587042749777
helmet,16600,0.026377274430539947
helmet,16700,0.02480530383638599
helmet,16800,0.026487729456750916
helmet,16900,0.023643317475609618
helmet,17000,0.01881972031197518
helmet,17100,0.02526005556041633
helmet,17200,0.023406052505093537
helmet,17300,0.025229156918090887
helmet,17400,0.025474849777226263
helmet,17500,0.023982543587505116
helmet,17600,0.022411975201778053
helmet,17700,0.02356939411619666
helmet,17800,0.024149994739677282
helmet,17900,0.02348350244073302
helmet,18000,0.022259400072934952
helmet,18100,0.02411398206323831
helmet,18200,0.023550771176544482
helmet,18300,0.023649387952247445
helmet,18400,0.026054668904597067
helmet,18500,0.027744388841706265
helmet,18600,0.017624585544113336
helmet,18700,0.024585815883322742
helmet,18800,0.021615118837748602
helmet,18900,0.023511626145813543
helmet,19000,0.0235700533174791
helmet,19100,0.023278079712464036
helmet,19200,0.02272110309850062
helmet,19300,0.02207320201215305
