Dataset,Human Samples,Relative Error
med-safe,100,0.2950894882309001
med-safe,200,0.18370997089924193
med-safe,300,0.1493043461218123
med-safe,400,0.1320410371093818
med-safe,500,0.13642175364444295
med-safe,600,0.10903660611528233
med-safe,700,0.10675005075483376
med-safe,800,0.10959336838634555
med-safe,900,0.09440643299471106
med-safe,1000,0.09638898269084509
med-safe,1100,0.08112050243365965
med-safe,1200,0.07961253423211975
med-safe,1300,0.08760172135518796
med-safe,1400,0.08256411315378134
med-safe,1500,0.05873700653334546
med-safe,1600,0.07200300908369132
med-safe,1700,0.08362793703990565
med-safe,1800,0.06874800018349779
med-safe,1900,0.06327115399495616
med-safe,2000,0.06414453247362592
med-safe,2100,0.06935039187913754
med-safe,2200,0.06262749381480238
med-safe,2300,0.051222371119146654
med-safe,2400,0.05766581106934489
med-safe,2500,0.05482602085576233
med-safe,2600,0.06194730363612222
med-safe,2700,0.05642221940990595
med-safe,2800,0.059947487087205285
med-safe,2900,0.054838441393764155
med-safe,3000,0.05009188365212132
med-safe,3100,0.0463838308017372
med-safe,3200,0.050596793628901904
med-safe,3300,0.05553071441207136
med-safe,3400,0.051316081555390344
med-safe,3500,0.04881146497276678
med-safe,3600,0.04647330777791837
med-safe,3700,0.048459832964371195
