Dataset,Human Samples,Relative Error
mrpc,100,0.05135459510746779
mrpc,200,0.038619599983624145
mrpc,300,0.037973047116481744
mrpc,400,0.028740658744841323
mrpc,500,0.02745820016930366
mrpc,600,0.02287115605673586
mrpc,700,0.024448330321297142
mrpc,800,0.021138953740886784
mrpc,900,0.019918604198932845
mrpc,1000,0.01658850698682158
mrpc,1100,0.01585776453970108
mrpc,1200,0.018359884257660886
mrpc,1300,0.017264380190227892
mrpc,1400,0.016564559819348512
mrpc,1500,0.0174959224888733
mrpc,1600,0.015082714889813196
mrpc,1700,0.015174916318872985
mrpc,1800,0.013023865584813636
mrpc,1900,0.013969972476911873
mrpc,2000,0.012433322278287536
mrpc,2100,0.01432780183273225
mrpc,2200,0.011258185700273473
mrpc,2300,0.01387704965769356
mrpc,2400,0.011963831779992233
mrpc,2500,0.011969322465335911
mrpc,2600,0.01116633615334884
mrpc,2700,0.009755585423716276
mrpc,2800,0.010144293500914146
mrpc,2900,0.010312975443345824
mrpc,3000,0.011427977130913404
mrpc,3100,0.011484375536362033
mrpc,3200,0.011120138728172546
mrpc,3300,0.009869464050637813
mrpc,3400,0.010547903979257992
mrpc,3500,0.010436297434799825
mrpc,3600,0.010477264944604273
