Dataset,Human Samples,Relative Error
med-safe,100,0.06265514818777608
med-safe,200,0.04962394829468793
med-safe,300,0.0426455364491483
med-safe,400,0.03742916205082823
med-safe,500,0.03583602362392894
med-safe,600,0.033046218605224185
med-safe,700,0.031739625180527205
med-safe,800,0.03173790066525215
med-safe,900,0.031061822386020885
med-safe,1000,0.02929463454875972
med-safe,1100,0.028996299551309404
med-safe,1200,0.02859015601902683
med-safe,1300,0.027406881551589983
med-safe,1400,0.027307126216453165
med-safe,1500,0.02763966407490306
med-safe,1600,0.026467342575477514
med-safe,1700,0.026419512300878488
med-safe,1800,0.02627781536760285
med-safe,1900,0.02547774211868316
med-safe,2000,0.02695406842292858
med-safe,2100,0.02625759428428678
med-safe,2200,0.026003944430792365
med-safe,2300,0.025559888833050583
med-safe,2400,0.02465563570844472
med-safe,2500,0.025390453749693846
med-safe,2600,0.025413958634025135
med-safe,2700,0.025026753486180272
med-safe,2800,0.024708441036927535
med-safe,2900,0.02473791963251232
med-safe,3000,0.02468088420071473
med-safe,3100,0.025069909369985318
med-safe,3200,0.025325256688302853
med-safe,3300,0.024958130461839312
med-safe,3400,0.024855405833022832
med-safe,3500,0.024072253530028086
med-safe,3600,0.02432002152913835
med-safe,3700,0.024619685675567056
