Dataset,Human Samples,Relative Error
mrpc,100,0.0713505557480304
mrpc,200,0.057109520196553354
mrpc,300,0.053734010070340274
mrpc,400,0.051724652549044445
mrpc,500,0.049034951748100845
mrpc,600,0.04705784198340488
mrpc,700,0.04687680802061798
mrpc,800,0.04659085389514873
mrpc,900,0.04544638404042433
mrpc,1000,0.04606305783502473
mrpc,1100,0.04449527576448623
mrpc,1200,0.045776127876113036
mrpc,1300,0.0448691905143627
mrpc,1400,0.044885262914918414
mrpc,1500,0.04526265862336815
mrpc,1600,0.044017956316729764
mrpc,1700,0.04477542465954139
mrpc,1800,0.0438740171151472
mrpc,1900,0.04414802978335045
mrpc,2000,0.04307696338457364
mrpc,2100,0.043737242653989955
mrpc,2200,0.042998138177443024
mrpc,2300,0.04332468393247358
mrpc,2400,0.04323695865337722
mrpc,2500,0.043391730159089835
mrpc,2600,0.043334666522656724
mrpc,2700,0.04316214665383908
mrpc,2800,0.04284597438854416
mrpc,2900,0.042643539801595624
mrpc,3000,0.04234163282326766
mrpc,3100,0.04358503358951292
mrpc,3200,0.04328687548958594
mrpc,3300,0.0426539006569307
mrpc,3400,0.042875653612156894
mrpc,3500,0.04320294251147794
mrpc,3600,0.04313784402628568
