model_name,num_samples,relative_error
alpaca-13b,20,69.31966194633462
alpaca-13b,38,53.29221292479161
alpaca-13b,56,41.77247501431113
alpaca-13b,75,37.63353820673623
alpaca-13b,93,33.70328549112636
alpaca-13b,111,29.99353225855672
alpaca-13b,130,27.376265207956163
alpaca-13b,148,26.665175408385053
alpaca-13b,166,25.34031336434496
alpaca-13b,185,23.506051160029518
alpaca-13b,203,22.74930934352882
alpaca-13b,221,21.120225353505926
alpaca-13b,240,20.000333865399465
alpaca-13b,258,19.419851254914008
alpaca-13b,276,18.60014575636362
alpaca-13b,295,18.688611299396214
alpaca-13b,313,17.761882560174907
alpaca-13b,331,16.974289359821896
alpaca-13b,350,17.071636404255784
