model_name,num_samples,relative_error
claude-v1,20,31.722821984795
claude-v1,38,23.974590935175357
claude-v1,56,19.52321023210631
claude-v1,75,17.084674364350093
claude-v1,93,15.360807759174245
claude-v1,111,13.446566362456657
claude-v1,130,12.662231127111598
claude-v1,148,11.898090063511559
claude-v1,166,11.573740474419246
claude-v1,185,10.44694734180446
claude-v1,203,10.158722109485126
claude-v1,221,9.58618449976037
claude-v1,240,9.590966971501347
claude-v1,258,8.88607016069184
claude-v1,276,8.577038318949493
claude-v1,295,8.482871039908426
claude-v1,313,8.203553361921994
claude-v1,331,8.089406432237494
claude-v1,350,7.804242701286898
