model_name,num_samples,relative_error
llama-13b,20,124.59685862531873
llama-13b,38,78.64099975809219
llama-13b,56,68.84461013037799
llama-13b,75,61.202952674593945
llama-13b,93,51.62255045478368
llama-13b,111,47.45702289879257
llama-13b,130,46.15985399337601
llama-13b,148,42.77140389170441
llama-13b,166,38.371683631528796
llama-13b,185,38.258447651394206
llama-13b,203,34.54325627827023
llama-13b,221,33.7375808336479
llama-13b,240,32.59256266530076
llama-13b,258,30.930919317880605
llama-13b,276,31.41071381328225
llama-13b,295,29.03191519802224
llama-13b,313,28.333768783602856
llama-13b,331,27.460588877137443
llama-13b,350,26.972456095562347
