model_name,num_samples,relative_error
vicuna-13b-v1.2,20,47.13424326359501
vicuna-13b-v1.2,38,33.59675058339008
vicuna-13b-v1.2,56,26.659326420989032
vicuna-13b-v1.2,75,23.784179624071825
vicuna-13b-v1.2,93,20.669988147310224
vicuna-13b-v1.2,111,18.959467283407555
vicuna-13b-v1.2,130,17.574152221979585
vicuna-13b-v1.2,148,16.009735301917864
vicuna-13b-v1.2,166,16.370692877913385
vicuna-13b-v1.2,185,14.646356694699213
vicuna-13b-v1.2,203,14.151553993583704
vicuna-13b-v1.2,221,13.254948306722625
vicuna-13b-v1.2,240,12.281871610822785
vicuna-13b-v1.2,258,12.780765353325933
vicuna-13b-v1.2,276,12.076919200882008
vicuna-13b-v1.2,295,11.140355840220849
vicuna-13b-v1.2,313,11.389825844418803
vicuna-13b-v1.2,331,10.875694564722464
vicuna-13b-v1.2,350,10.468486640864008
