Dataset,Cost_Human,Relative_Error,Cost_LLM
helmet,40,0.8968296614723267,40753
helmet,81,0.8965609887157442,40753
helmet,122,0.8954862976894143,40753
helmet,163,0.8941429339065019,40753
helmet,203,0.891993551853842,40753
helmet,244,0.8906501880709297,40753
helmet,285,0.8890381515314347,40753
helmet,326,0.8876947877485223,40753
helmet,366,0.8866200967221924,40753
helmet,407,0.8852767329392799,40753
helmet,815,0.8715744223535733,40753
helmet,1222,0.8576034390112842,40753
helmet,1630,0.8447071466953252,40753
helmet,2037,0.831273508866201,40753
helmet,2445,0.8148844707146696,40753
helmet,2852,0.8006448146157981,40753
helmet,3260,0.7904352498656636,40753
helmet,3667,0.7826437399247717,40753
helmet,4075,0.7697474476088124,40753
helmet,8150,0.6590542718968296,40753
helmet,12225,0.5556152606125739,40753
helmet,16301,0.4618484685652875,40753
helmet,20376,0.3680816765180011,40753
helmet,24451,0.2869425040300914,40753
helmet,28527,0.22084900591080067,40753
helmet,32602,0.1501880709296077,40753
helmet,36677,0.06985491671144556,40753
helmet,40753,0.0,40753
