Dataset,Cost_Human,Relative_Error,Cost_LLM
med-safe,3,5.667506297229219,3701
med-safe,7,5.662468513853905,3701
med-safe,11,5.657430730478589,3701
med-safe,14,5.654911838790932,3701
med-safe,18,5.6498740554156175,3701
med-safe,22,5.642317380352645,3701
med-safe,25,5.634760705289673,3701
med-safe,29,5.629722921914357,3701
med-safe,33,5.6221662468513856,3701
med-safe,37,5.617128463476071,3701
med-safe,74,5.554156171284635,3701
med-safe,111,5.4911838790931995,3701
med-safe,148,5.428211586901764,3701
med-safe,185,5.352644836272041,3701
med-safe,222,5.289672544080604,3701
med-safe,259,5.221662468513854,3701
med-safe,296,5.153652392947103,3701
med-safe,333,5.080604534005038,3701
med-safe,370,5.020151133501259,3701
med-safe,740,4.445843828715366,3701
med-safe,1110,3.9219143576826196,3701
med-safe,1480,3.355163727959698,3701
med-safe,1850,2.7682619647355167,3701
med-safe,2220,2.239294710327456,3701
med-safe,2590,1.6977329974811084,3701
med-safe,2960,1.1561712846347607,3701
med-safe,3330,0.6095717884130983,3701
med-safe,3701,0.0,3701
