model_name,num_samples,relative_error
alpaca-13b,20,7.634408602150518
alpaca-13b,38,7.634408602150518
alpaca-13b,56,6.612903225806434
alpaca-13b,75,7.634408602150518
alpaca-13b,93,7.634408602150518
alpaca-13b,111,7.63440860215053
alpaca-13b,130,8.65591397849462
alpaca-13b,148,8.65591397849462
alpaca-13b,166,8.65591397849462
alpaca-13b,185,7.634408602150518
alpaca-13b,203,7.634408602150518
alpaca-13b,221,7.634408602150518
alpaca-13b,240,7.634408602150518
alpaca-13b,258,7.634408602150518
alpaca-13b,276,8.65591397849462
alpaca-13b,295,8.65591397849462
alpaca-13b,313,8.65591397849462
alpaca-13b,331,8.65591397849462
alpaca-13b,350,7.688172043010727
