model_name,num_samples,relative_error
claude-v1,20,36.227106227106226
claude-v1,38,35.531135531135526
claude-v1,56,34.83516483516483
claude-v1,75,34.487179487179496
claude-v1,93,33.7912087912088
claude-v1,111,33.44322344322343
claude-v1,130,33.44322344322343
claude-v1,148,33.44322344322343
claude-v1,166,33.44322344322343
claude-v1,185,32.399267399267394
claude-v1,203,32.41758241758243
claude-v1,221,32.08791208791207
claude-v1,240,32.08791208791207
claude-v1,258,31.09890109890108
claude-v1,276,31.09890109890108
claude-v1,295,31.09890109890108
claude-v1,313,30.109890109890106
claude-v1,331,29.450549450549435
claude-v1,350,27.8021978021978
