model_name,num_samples,relative_error
gpt-3.5-turbo,20,23.6590330788804
gpt-3.5-turbo,38,23.409669211195936
gpt-3.5-turbo,56,23.167938931297723
gpt-3.5-turbo,75,22.9262086513995
gpt-3.5-turbo,93,22.68447837150126
gpt-3.5-turbo,111,22.68447837150126
gpt-3.5-turbo,130,21.959287531806623
gpt-3.5-turbo,148,21.71755725190838
gpt-3.5-turbo,166,21.47582697201017
gpt-3.5-turbo,185,21.47582697201017
gpt-3.5-turbo,203,21.47582697201017
gpt-3.5-turbo,221,20.99236641221375
gpt-3.5-turbo,240,20.750636132315528
gpt-3.5-turbo,258,20.508905852417286
gpt-3.5-turbo,276,20.025445292620876
gpt-3.5-turbo,295,20.025445292620876
gpt-3.5-turbo,313,19.79643765903308
gpt-3.5-turbo,331,19.10941475826971
gpt-3.5-turbo,350,18.193384223918574
