model_name,num_samples,relative_error
llama-13b,20,38.571428571428555
llama-13b,38,38.571428571428555
llama-13b,56,38.571428571428555
llama-13b,75,38.571428571428555
llama-13b,93,38.571428571428555
llama-13b,111,38.571428571428555
llama-13b,130,38.571428571428555
llama-13b,148,38.571428571428555
llama-13b,166,38.571428571428555
llama-13b,185,38.571428571428555
llama-13b,203,38.571428571428555
llama-13b,221,36.3095238095238
llama-13b,240,36.3095238095238
llama-13b,258,36.3095238095238
llama-13b,276,36.3095238095238
llama-13b,295,36.3095238095238
llama-13b,313,34.047619047619044
llama-13b,331,34.047619047619044
llama-13b,350,34.047619047619044
