model_name,num_samples,relative_error
vicuna-13b-v1.2,20,35.74074074074071
vicuna-13b-v1.2,38,36.24338624338624
vicuna-13b-v1.2,56,36.24338624338624
vicuna-13b-v1.2,75,35.74074074074071
vicuna-13b-v1.2,93,35.74074074074071
vicuna-13b-v1.2,111,35.74074074074071
vicuna-13b-v1.2,130,36.24338624338624
vicuna-13b-v1.2,148,34.73544973544973
vicuna-13b-v1.2,166,34.232804232804234
vicuna-13b-v1.2,185,33.22751322751322
vicuna-13b-v1.2,203,32.222222222222186
vicuna-13b-v1.2,221,31.71957671957671
vicuna-13b-v1.2,240,30.740740740740744
vicuna-13b-v1.2,258,30.264550264550262
vicuna-13b-v1.2,276,29.788359788359784
vicuna-13b-v1.2,295,28.835978835978832
vicuna-13b-v1.2,313,29.788359788359784
vicuna-13b-v1.2,331,30.740740740740744
vicuna-13b-v1.2,350,30.264550264550262
