Dataset,Cost_Human,Relative_Error,Cost_LLM
persuasion,4,2.98692152917505,4040
persuasion,8,2.9859154929577465,4040
persuasion,12,2.982897384305835,4040
persuasion,16,2.9798792756539236,4040
persuasion,20,2.977867203219316,4040
persuasion,24,2.975855130784708,4040
persuasion,28,2.971830985915493,4040
persuasion,32,2.9688128772635816,4040
persuasion,36,2.966800804828974,4040
persuasion,40,2.9637826961770624,4040
persuasion,80,2.9336016096579476,4040
persuasion,121,2.902414486921529,4040
persuasion,161,2.8762575452716295,4040
persuasion,202,2.8420523138832996,4040
persuasion,242,2.812877263581489,4040
persuasion,282,2.7826961770623746,4040
persuasion,323,2.7484909456740443,4040
persuasion,363,2.71830985915493,4040
persuasion,404,2.6841046277665996,4040
persuasion,808,2.374245472837022,4040
persuasion,1212,2.0653923541247488,4040
persuasion,1616,1.7555331991951713,4040
persuasion,2020,1.4537223340040242,4040
persuasion,2424,1.1529175050301812,4040
persuasion,2828,0.8430583501006037,4040
persuasion,3232,0.5533199195171027,4040
persuasion,3636,0.23641851106639838,4040
persuasion,4040,0.0,4040
