Dataset,Human_Samples,AvgRelativeError,LLM_Samples
med-safe,0,5.675062972292193,3701
med-safe,100,5.52124685138539,3601
med-safe,200,5.368425692695215,3501
med-safe,300,5.215624685138541,3401
med-safe,400,5.0611057934508805,3301
med-safe,500,4.907637279596977,3201
med-safe,600,4.754518891687658,3101
med-safe,700,4.6006246851385395,3001
med-safe,800,4.4473047858942065,2901
med-safe,900,4.293962216624685,2801
med-safe,1000,4.142931989924434,2701
med-safe,1100,3.9887657430730483,2601
med-safe,1200,3.834370277078086,2501
med-safe,1300,3.6807632241813604,2401
med-safe,1400,3.528052896725441,2301
med-safe,1500,3.3746322418136026,2201
med-safe,1600,3.2216926952141067,2101
med-safe,1700,3.06883879093199,2001
med-safe,1800,2.91507556675063,1901
med-safe,1900,2.7626574307304788,1801
med-safe,2000,2.607428211586902,1701
med-safe,2100,2.4556322418136025,1601
med-safe,2200,2.3008564231738036,1501
med-safe,2300,2.148463476070529,1401
med-safe,2400,1.9925894206549122,1301
med-safe,2500,1.8429596977329978,1201
med-safe,2600,1.6884609571788414,1101
med-safe,2700,1.5332241813602019,1001
med-safe,2800,1.3822846347607056,901
med-safe,2900,1.2277707808564233,801
med-safe,3000,1.0758236775818641,701
med-safe,3100,0.9221813602015113,601
med-safe,3200,0.7683879093198993,501
med-safe,3300,0.6140100755667506,401
med-safe,3400,0.4609294710327456,301
med-safe,3500,0.30742569269521414,201
med-safe,3600,0.15503274559193958,101
med-safe,3700,0.0016322418136019907,1
