Dataset,Human_Samples,AvgRelativeError,LLM_Samples
mrpc,0,0.2568157033805889,3668
mrpc,100,0.2498206106870229,3568
mrpc,200,0.2427584514721919,3468
mrpc,300,0.23574100327153763,3368
mrpc,400,0.2287442748091603,3268
mrpc,500,0.2218148854961832,3168
mrpc,600,0.21497546346782986,3068
mrpc,700,0.20788167938931298,2968
mrpc,800,0.20060796074154855,2868
mrpc,900,0.193610959651036,2768
mrpc,1000,0.18700954198473282,2668
mrpc,1100,0.17968456924754633,2568
mrpc,1200,0.17278189749182116,2468
mrpc,1300,0.16588576881134134,2368
mrpc,1400,0.15871483097055616,2268
mrpc,1500,0.15163958560523447,2168
mrpc,1600,0.1447859869138495,2068
mrpc,1700,0.1378724100327154,1968
mrpc,1800,0.13094901853871319,1868
mrpc,1900,0.12372791712104689,1768
mrpc,2000,0.11676417666303164,1668
mrpc,2100,0.10985959651035987,1568
mrpc,2200,0.10284760087241003,1468
mrpc,2300,0.09585659760087241,1368
mrpc,2400,0.0887003816793893,1268
mrpc,2500,0.08181979280261722,1168
mrpc,2600,0.0748541439476554,1068
mrpc,2700,0.06786123227917122,968
mrpc,2800,0.06081215921483096,868
mrpc,2900,0.05386641221374045,768
mrpc,3000,0.04683533260632497,668
mrpc,3100,0.0396273173391494,568
mrpc,3200,0.03280752453653217,468
mrpc,3300,0.025839422028353327,368
mrpc,3400,0.018806979280261708,268
mrpc,3500,0.011691657579062141,168
mrpc,3600,0.004761995637949852,68
