model_name,num_samples,relative_error
alpaca-13b,20,70.26129032258063
alpaca-13b,38,48.41935483870967
alpaca-13b,56,40.002508960573465
alpaca-13b,75,34.53763440860216
alpaca-13b,93,31.623655913978496
alpaca-13b,111,28.855913978494623
alpaca-13b,130,26.781063321385904
alpaca-13b,148,24.54135851035929
alpaca-13b,166,22.83796166432912
alpaca-13b,185,22.17271768922623
alpaca-13b,203,22.015860215053763
alpaca-13b,221,19.637934073682352
alpaca-13b,240,18.704643206256108
alpaca-13b,258,17.242859306375887
alpaca-13b,276,16.85653650254669
alpaca-13b,295,16.26241869109252
alpaca-13b,313,16.091985496374093
alpaca-13b,331,16.007704123833154
alpaca-13b,350,14.863440860215054
