model_name,num_samples,relative_error
claude-v1,20,31.496153846153852
claude-v1,38,22.09786324786325
claude-v1,56,19.195712131006246
claude-v1,75,16.438238573021184
claude-v1,93,15.240293040293041
claude-v1,111,13.245170068027209
claude-v1,130,12.305183150183153
claude-v1,148,11.589026915113873
claude-v1,166,10.86230628346013
claude-v1,185,10.031684981684982
claude-v1,203,9.764010989010991
claude-v1,221,9.370393374741202
claude-v1,240,8.705064713064715
claude-v1,258,8.424533080088638
claude-v1,276,8.236507936507937
claude-v1,295,7.472857939162288
claude-v1,313,7.106440158480976
claude-v1,331,6.891465905888983
claude-v1,350,7.023689643689644
