model_name,num_samples,relative_error
gpt-3.5-turbo,20,26.903053435114504
gpt-3.5-turbo,38,19.334171531207904
gpt-3.5-turbo,56,15.334656488549623
gpt-3.5-turbo,75,13.500393245431413
gpt-3.5-turbo,93,12.3851051945634
gpt-3.5-turbo,111,10.8698239601184
gpt-3.5-turbo,130,10.051345922057054
gpt-3.5-turbo,148,9.618690724034234
gpt-3.5-turbo,166,8.97062100268207
gpt-3.5-turbo,185,8.144889219884568
gpt-3.5-turbo,203,8.069889737065308
gpt-3.5-turbo,221,7.439258451472193
gpt-3.5-turbo,240,6.908368140573238
gpt-3.5-turbo,258,6.741320942582143
gpt-3.5-turbo,276,6.330453670948924
gpt-3.5-turbo,295,6.142159547811899
gpt-3.5-turbo,313,5.9092097314514795
gpt-3.5-turbo,331,6.0444409824998715
gpt-3.5-turbo,350,5.684223918575063
