model_name,num_samples,relative_error
llama-13b,20,124.8488095238095
llama-13b,38,78.39940476190476
llama-13b,56,69.48487394957984
llama-13b,75,57.2416149068323
llama-13b,93,50.352463054187204
llama-13b,111,47.832653061224484
llama-13b,130,40.277874564459935
llama-13b,148,39.227507598784186
llama-13b,166,36.847252747252746
llama-13b,185,34.94766009852217
llama-13b,203,33.61205357142857
llama-13b,221,30.69693877551021
llama-13b,240,29.583364661654137
llama-13b,258,28.92795414462081
llama-13b,276,28.861658456486044
llama-13b,295,25.842012288786485
llama-13b,313,26.14199134199134
llama-13b,331,24.529251700680273
llama-13b,350,23.58809523809524
