model_name,num_samples,relative_error
vicuna-13b-v1.2,20,44.915079365079364
vicuna-13b-v1.2,38,31.9734126984127
vicuna-13b-v1.2,56,26.306437389770718
vicuna-13b-v1.2,75,22.33267195767196
vicuna-13b-v1.2,93,20.56470899470899
vicuna-13b-v1.2,111,18.665388007054673
vicuna-13b-v1.2,130,16.79678848283499
vicuna-13b-v1.2,148,15.283317136378358
vicuna-13b-v1.2,166,14.530072150072153
vicuna-13b-v1.2,185,13.018449128285193
vicuna-13b-v1.2,203,13.497796730632551
vicuna-13b-v1.2,221,12.341639486844967
vicuna-13b-v1.2,240,11.703596544102872
vicuna-13b-v1.2,258,12.25968253968254
vicuna-13b-v1.2,276,10.31119832548404
vicuna-13b-v1.2,295,10.766830306005565
vicuna-13b-v1.2,313,10.374387424872864
vicuna-13b-v1.2,331,9.965690985874472
vicuna-13b-v1.2,350,9.555610766045545
